DATE	LNS13000001	LNS13000002	LNS13027659	LNS13027660	LNS13027662	LNU03000000	LNU03000001	LNU03000002	LNU03027659	LNU03027660	LNU03027662	UNEMPLOY
1948-01-01	1478	556				2351	1789	562				2034
1948-02-01	1565	763				2807	2004	803				2328
1948-03-01	1649	750				2646	1912	734				2399
1948-04-01	1630	756				2407	1707	700				2386
1948-05-01	1492	626				2014	1430	584				2118
1948-06-01	1448	766				2408	1493	915				2214
1948-07-01	1460	753				2411	1551	860				2213
1948-08-01	1578	772				2238	1451	787				2350
1948-09-01	1588	714				2061	1343	718				2302
1948-10-01	1573	686				1747	1147	600				2259
1948-11-01	1602	683				2033	1352	681				2285
1948-12-01	1683	746				2205	1547	658				2429
1949-01-01	1830	766				2995	2218	777				2596
1949-02-01	2003	846				3474	2586	888				2849
1949-03-01	2211	819				3383	2585	798				3030
1949-04-01	2293	967				3277	2382	895				3260
1949-05-01	2639	1068				3516	2503	1013				3707
1949-06-01	2686	1090				3966	2713	1253				3776
1949-07-01	2884	1227				4388	3025	1363				4111
1949-08-01	2962	1231				3956	2701	1255				4193
1949-09-01	2822	1227				3635	2409	1226				4049
1949-10-01	3695	1221				3788	2709	1079				4916
1949-11-01	2855	1141				3570	2413	1157				3996
1949-12-01	2838	1225				3690	2621	1069				4063
1950-01-01	2776	1250				4648	3358	1290				4026
1950-02-01	2707	1229				4791	3489	1302				3936
1950-03-01	2680	1196				4313	3139	1174				3876
1950-04-01	2583	992				3665	2720	945				3575
1950-05-01	2377	1057				3263	2258	1005				3434
1950-06-01	2234	1133				3551	2279	1272				3367
1950-07-01	2089	1031				3316	2187	1129				3120
1950-08-01	1906	893				2613	1714	899				2799
1950-09-01	1842	932				2490	1556	934				2774
1950-10-01	1728	897				2055	1261	794				2625
1950-11-01	1612	977				2356	1363	993				2589
1950-12-01	1661	978				2409	1556	853				2639
1951-01-01	1439	866				2649	1745	904				2305
1951-02-01	1282	835				2538	1654	884				2117
1951-03-01	1185	940				2323	1387	936				2125
1951-04-01	1089	830				1938	1144	794				1919
1951-05-01	1059	797				1770	1006	764				1856
1951-06-01	1186	809				2132	1224	908				1995
1951-07-01	1172	778				2072	1232	840				1950
1951-08-01	1190	743				1806	1064	742				1933
1951-09-01	1202	865				1886	1014	872				2067
1951-10-01	1333	861				1754	984	770				2194
1951-11-01	1315	863				1990	1108	882				2178
1951-12-01	1150	810				1796	1082	714				1960
1952-01-01	1226	746				2258	1480	778				1972
1952-02-01	1217	740				2340	1556	784				1957
1952-03-01	1155	658				2002	1350	652				1813
1952-04-01	1139	672				1836	1188	648				1811
1952-05-01	1110	753				1782	1050	732				1863
1952-06-01	1202	682				2032	1254	778				1884
1952-07-01	1282	709				2085	1328	757				1991
1952-08-01	1351	736				1918	1186	732				2087
1952-09-01	1283	653				1728	1070	658				1936
1952-10-01	1104	735				1480	824	656				1839
1952-11-01	1080	663				1594	914	680				1743
1952-12-01	1067	600				1545	1018	527				1667
1953-01-01	1236	603				2132	1504	628				1839
1953-02-01	1060	576				1964	1362	602				1636
1953-03-01	1018	629				1828	1200	628				1647
1953-04-01	1138	585				1764	1202	562				1723
1953-05-01	1086	510				1536	1034	502				1596
1953-06-01	1053	554				1732	1102	630				1607
1953-07-01	1095	565				1710	1120	590				1660
1953-08-01	1089	576				1512	944	568				1665
1953-09-01	1157	664				1619	955	664				1821
1953-10-01	1275	699				1572	950	622				1974
1953-11-01	1497	714				2017	1274	743				2211
1953-12-01	1843	975				2634	1781	853				2818
1954-01-01	1938	1139				3561	2362	1199				3077
1954-02-01	2163	1168				3983	2760	1223				3331
1954-03-01	2329	1278				4037	2768	1269				3607
