"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1998-12",2.401875,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-01",2.39486,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-02",2.091807,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-03",2.085747,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-04",2.196532,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-05",2.021953,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-06",2.080925,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-07",2.077322,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-08",1.898734,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-09",2.009185,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-10",2.060675,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-11",2.059497,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","1999-12",1.94508,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-01",1.996577,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-02",2.162777,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-03",2.440409,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-04",2.319005,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-05",2.434881,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-06",2.491506,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-07",2.487281,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-08",2.597403,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-09",2.588633,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-10",2.523836,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-11",2.578475,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2000-12",2.581369,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-01",2.628635,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-02",2.729805,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-03",2.65928,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-04",2.59812,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-05",2.542841,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-06",2.707182,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-07",2.702703,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-08",2.696753,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-09",2.633023,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-10",2.625821,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-11",2.786885,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2001-12",2.73523,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-01",2.561308,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-02",2.603037,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-03",2.428494,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-04",2.532328,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-05",2.533693,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-06",2.259279,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-07",2.201933,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-08",2.357985,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-09",2.244789,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-10",2.238806,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-11",1.967039,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2002-12",1.916933,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-01",1.912859,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-02",1.744186,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-03",1.685985,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-04",1.471361,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-05",1.577287,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-06",1.525513,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-07",1.52391,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-08",1.3089,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-09",1.2023,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-10",1.303441,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-11",1.09489,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2003-12",1.149425,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-01",1.147028,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-02",1.246753,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-03",1.606218,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-04",1.760746,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-05",1.708075,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-06",1.865285,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-07",1.759834,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-08",1.705426,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-09",1.96281,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-10",2.007205,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-11",2.166065,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2004-12",2.169421,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-01",2.268041,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-02",2.360185,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-03",2.345742,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-04",2.239186,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-05",2.188295,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-06",2.034588,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-07",2.136317,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-08",2.134146,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-09",1.975684,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-10",2.068618,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-11",2.120141,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2005-12",2.173913,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2006-01",2.116935,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2006-02",2.055138,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2006-03",2.092676,
"USA","CPI","TOT_FOODENRG","AGRWTH","M","2006-04",2.289696,
