"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-01",4.663308,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-02",4.885577,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-03",4.784481,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-04",4.813225,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-05",4.864938,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-06",4.62919,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-07",4.516362,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-08",4.575645,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-09",4.394276,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-10",4.604715,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-11",4.565319,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1998-12",4.59462,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-01",4.597713,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-02",4.339288,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-03",4.458207,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-04",4.228574,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-05",4.500903,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-06",4.469576,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-07",4.665782,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-08",4.683931,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-09",4.70664,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-10",5.037267,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-11",5.261473,
"AUS","TRADEGOOD","EXP","BLN_USD","M","1999-12",5.043857,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-01",5.173712,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-02",5.486472,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-03",5.183176,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-04",5.184703,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-05",5.067408,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-06",5.385621,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-07",5.540258,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-08",5.282229,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-09",5.370684,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-10",5.320498,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-11",5.31357,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2000-12",5.462166,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-01",5.192142,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-02",5.357972,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-03",5.215301,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-04",5.327692,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-05",5.309615,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-06",5.481523,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-07",5.336937,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-08",5.320791,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-09",5.39884,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-10",5.12784,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-11",5.128,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2001-12",5.088767,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2002-01",5.206052,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2002-02",5.187577,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2002-03",5.475048,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2002-04",5.314867,
"AUS","TRADEGOOD","EXP","BLN_USD","M","2002-05",5.264076,
